الاسم,الإجمالي,أحياء,متوفون,يحتاج_مراجعة,محمد,خلف,سعد,ناصر,زويّد بن محمد,لويحق بن محمد,سالم بن محمد,محمد بن خلف,عبدالله بن خلف,خلف بن خلف,ناصر بن سعد,علي بن سعد,سعود بن سعد,عبدالله بن ناصر,صقر بن ناصر,سعد بن ناصر,محمد بن ناصر,سعود بن ناصر
فواز,7,7,0,0,3,1,0,3,0,0,3,0,1,0,0,0,0,0,2,0,1,0
عساف,7,7,0,0,2,1,0,4,0,0,2,1,0,0,0,0,0,0,1,1,0,2
لويحق,6,1,5,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
بشر,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
أسامة,6,6,0,0,0,2,1,3,0,0,0,2,0,0,0,1,0,0,1,1,0,1
رائد,6,6,0,0,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1
حاضر,6,3,3,0,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
رواف,6,6,0,0,3,1,0,2,0,1,2,1,0,0,0,0,0,0,1,1,0,0
سامي,5,5,0,0,1,0,1,3,0,0,1,0,0,0,0,1,0,2,0,0,0,1
عصمان,5,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
فلاح,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
ثامر,5,5,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1
مصعب,5,5,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,1
حسام,5,5,0,0,0,2,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1,1
عماد,4,4,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1
المجيدعبد,4,4,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1
نادر,4,4,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0
الواحدعبد,4,3,1,0,1,2,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0
عبدالحكيم,4,4,0,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
عبدالكريم,4,4,0,0,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1
عبداللطيف,4,4,0,0,2,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
هاني,4,4,0,0,1,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0
إياد,4,4,0,0,1,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
أديب,4,4,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0
فراس,4,4,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,1
أصيل,4,4,0,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0
أنس,4,4,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,1,0
يزن,4,4,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1
علي,3,2,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
عمران,3,2,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
الحميدي,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
زويد,3,0,3,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
أيمن,3,3,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
جعفر,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ملهي,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
عبدالوهاب,3,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1
أمير,3,3,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
